,Factor1,Factor2
duration,-0.06396799105162478,0.25337523774745946
energy,0.5956464402137814,-0.06047503763319212
zcr,0.26227992807202233,0.5066338860600342
f0_mean,0.32230227779654236,-0.30573285414001206
