,Factor1,Factor2,Factor3
duration,0.2438043789847541,-0.2503909680458027,0.15271130663828608
energy,0.49593432147597266,0.35915937874764886,0.025061051065056215
zcr,0.4241502783419523,-0.3735565272022218,-0.056171828395992114
f0_mean,0.7071091935487281,0.014306738981043695,-0.020044314751343176
