,utterance_id,speaker,start,end,duration,energy,zcr,f0_mean,Factor1,Factor2,Factor3
0,0,A,11.544,11.98,0.43599999999999994,0.0049301325,0.07502092633928571,117.42285993120429,0.06770283333700824,-0.042352862352578194,-0.21479904876298897
1,1,A,11.98,12.34,0.35999999999999943,0.01419352,0.10457356770833333,90.95978294760101,0.37113610862844293,0.3319348486998554,-0.19898775169546107
2,2,A,12.34,13.576,1.2360000000000007,0.004114683,0.060897435897435896,106.49950067598088,-0.1554754765884325,-0.13101324832115863,-0.017939808214427984
3,3,A,13.576,14.42,0.8439999999999994,0.0027382385,0.1994900173611111,132.9448811312423,1.0967790146183598,-1.6796522968382057,-0.47060567440150697
4,4,A,14.42,17.563,3.142999999999999,0.003234913,0.03884548611111111,122.67078945869545,0.1240192098436904,-0.36636768656543406,0.38125707046750745
5,5,A,20.05,20.69,0.6400000000000006,0.0015302874,0.10407366071428571,145.96036998414652,0.5516822518809171,-0.6531680191516829,-0.304870047310514
6,6,A,20.69,22.311,1.6209999999999987,0.014527275,0.09891046262254902,188.26049368447806,2.045667275370358,0.19731508736065165,-0.05245531597652149
7,7,A,22.311,23.533,1.2220000000000013,0.000944897,0.056302584134615384,107.35031947756971,-0.35626740698414316,-0.316617465025056,-0.03471572576942291
8,8,A,23.983,24.653,0.6699999999999982,0.004018235,0.028390066964285716,125.28289591703292,-0.15384317474301004,0.3615402746823495,-0.07295229754072158
9,9,A,26.286,26.896,0.6099999999999994,0.0019057813,0.0993896484375,100.29677488509358,-0.18819622409972891,-0.5926585206504467,-0.24231724697089438
10,10,A,27.421,28.713,1.2920000000000016,0.0016452068,0.04612471417682927,109.98764547000349,-0.33641200596292203,-0.16389031517257185,0.005683538237293553
11,11,A,28.713,30.03,1.3170000000000002,0.001407851,0.08707682291666667,108.52356275340907,-0.08749867627885652,-0.6454479862124287,-0.0882966849949749
12,12,A,31.243,32.723,1.4800000000000004,0.0037774395,0.07332529920212766,121.59664116166368,0.17972468095636854,-0.3407072542641417,-0.020835422062524846
13,13,A,33.436,34.963,1.527000000000001,0.0010064841,0.07468668619791667,118.96637182663007,-0.0052773793953003415,-0.5781613349725796,-0.03291314136565387
14,14,A,35.347,36.406,1.0589999999999975,0.001701742,0.07021197150735294,131.94810235491605,0.15450643523098684,-0.3636740312604152,-0.12352051073267953
15,15,A,37.238,39.133,1.8950000000000031,0.0012554126,0.054248046875,120.34978429123645,-0.06678446088262609,-0.4121914372083745,0.08840968116878742
16,16,A,40.411,46.713,6.302,0.0021231673,0.04892478981598985,104.25403529336816,0.21042565619454834,-1.2769512919651387,0.9864349876942693
17,17,A,48.93,50.036,1.1060000000000016,0.010590077,0.07056361607142857,114.65200149659843,0.39504937830693454,0.2861499263385873,-0.02702372973447188
18,18,A,50.503,51.873,1.3699999999999974,0.013147504,0.11309956395348837,145.76230414004505,1.3601194025750851,-0.03498774733760729,-0.09564629838541786
19,19,A,51.873,53.066,1.193000000000005,0.011817988,0.11555561266447369,119.83717050603254,0.8684439663178132,-0.13919553724716088,-0.11540789584688195
20,20,A,53.851,54.691,0.8400000000000034,0.001366321,0.10038700810185185,174.24725077109676,0.9898477607551821,-0.6522671057684424,-0.29182403005461693
21,21,A,55.156,55.666,0.509999999999998,0.00067995925,0.05474853515625,89.3096419710148,-0.7527551749792966,-0.17160193737283466,-0.15040634187873533
22,22,A,55.906,57.76,1.8539999999999992,0.0024178713,0.044500942887931036,106.87951807300534,-0.2865673019230578,-0.21401322214354587,0.1287742809724272
23,23,A,58.002,59.466,1.4639999999999986,0.00441223,0.07551375679347826,107.19058008012802,0.00032092107347523447,-0.32190974128498445,-0.007290859438888352
24,24,A,59.996,61.276,1.2800000000000011,0.001647839,0.035358708079268296,95.58298544432931,-0.6408536686520384,-0.04934523924126885,0.04644652206352856
25,25,A,61.486,61.993,0.507000000000005,0.0005580075,0.0587158203125,132.61426543671496,-0.04472392152032495,-0.19892282478440879,-0.21293428371280043
26,26,A,62.394,64.344,1.9499999999999957,0.0023041156,0.05816150102459016,119.56547364960305,0.014128266119016528,-0.3890033157735007,0.09860678899030621
27,27,A,64.844,65.14,0.2960000000000065,0.0006362174,0.015771484375,54.286284297674854,-1.6060350283083389,0.2871049661730098,-0.0568424972132199
28,28,A,65.343,65.994,0.6509999999999962,0.0019823404,0.027064732142857144,96.68823098113083,-0.7357092963341393,0.2092156624926951,-0.05498218323363947
29,29,A,66.503,67.253,0.75,0.00857555,0.07602945963541667,114.28126887077768,0.26989600421160936,0.15127279778223857,-0.12452489652669442
30,30,A,67.253,69.436,2.183000000000007,0.006655449,0.16931329257246377,132.79346067552387,1.2676342961451388,-1.3435940635217614,-0.10669022854361607
31,31,A,69.887,70.32,0.4329999999999927,0.0007232114,0.038295200892857144,75.91773941115913,-1.0857312794487861,0.024568731210466634,-0.10949423196725515
32,32,A,70.32,71.144,0.8240000000000123,0.0036175183,0.027155949519230768,120.60848076243718,-0.24132071160926558,0.30788946763591735,-0.03743791555714807
33,33,A,71.274,73.617,2.3430000000000035,0.0014814022,0.04823426942567568,104.28985758713279,-0.2976678387522942,-0.4370681986045605,0.21108469128890234
34,34,A,75.553,77.043,1.490000000000009,0.0027472675,0.059591090425531915,108.48568122310787,-0.18101505089416867,-0.27552659949264957,0.021982712128294786
35,35,A,77.94,80.583,2.6430000000000007,0.0020846082,0.049092855798192774,132.8620374511383,0.23200659201968762,-0.45077388150061004,0.2381668825296191
