,Factor1,Factor2,Factor3
duration,0.3438629395111563,0.08950998062471498,0.1868204097561876
energy,-0.010689542851977936,0.26719323029593434,-0.02008953534226497
zcr,0.5958807475287804,-0.0843786610422464,0.02441553887483282
f0_mean,0.5346685843022773,0.05864973345045843,-0.1293436570098084
