,utterance_id,speaker,start,end,duration,energy,zcr,f0_mean,Factor1,Factor2
0,0,A,0.437,0.747,0.31,7.009234e-06,0.042626953125,98.31692506927236,-0.8777600479196735,-0.08569668300312851
1,1,A,7.457,8.45,0.9929999999999994,0.00010593683,0.068267822265625,110.87644063463182,-0.11133124949959089,-0.07662372320374992
2,2,A,8.74,10.11,1.3699999999999992,0.00010735174,0.060524164244186045,108.03659176287083,-0.2501809796781328,-0.03861964363408223
3,3,A,14.09,14.453,0.36299999999999955,9.632906e-05,0.025553385416666668,104.55001002361409,-1.1017091909566636,0.024856812529470244
4,4,A,17.337,18.207,0.870000000000001,0.00021112476,0.07393973214285714,106.87551083815337,-0.08090555384092399,-0.09652940285727682
5,5,A,20.467,20.663,0.1960000000000015,0.00094340846,0.06549944196428571,140.69163607187997,0.17107550321841358,0.19163180186946674
6,6,A,20.667,21.537,0.8699999999999974,0.00016544785,0.0506591796875,102.57693187094166,-0.5869869880224011,-0.03562560891730073
7,7,A,22.77,25.86,3.09,9.7244454e-05,0.061322084407216496,139.04095277051428,0.4617124553370206,0.16441833310849774
8,8,A,27.709,29.895,2.186,5.799772e-05,0.07488394474637682,128.8360343972458,0.444570221161062,0.01877071413646924
9,9,A,29.982,30.632,0.6500000000000021,3.780803e-06,0.053873697916666664,108.40060494251148,-0.4672208192747907,-0.07229737765850726
10,10,A,37.923,39.37,1.4469999999999956,1.1433504e-05,0.07365616508152174,126.65720957061234,0.2893951226726848,-0.03349619211096545
11,11,A,42.1,42.57,0.46999999999999886,4.4271437e-05,0.03017578125,101.24112013596977,-1.0489021060782056,-0.01116809775661994
12,12,A,44.143,45.897,1.7539999999999978,0.005463609,0.07046342329545455,128.12510210302113,0.25881723897413944,1.200725171919634
13,13,A,45.9,46.35,0.45000000000000284,0.00079752086,0.10201822916666667,108.56286568266634,0.4172278415417374,-0.08816717243975918
14,14,A,46.35,47.387,1.036999999999999,6.4963206e-05,0.09718276515151515,165.34014099767523,1.2608110034925553,0.01742864064203224
15,15,A,47.397,49.843,2.446000000000005,0.00012955072,0.04736328125,150.41010632482272,0.2804779812490449,0.23439023497044414
16,16,A,50.717,51.613,0.8960000000000008,2.255931e-05,0.04269935344827586,106.65833922363336,-0.6724552185352216,-0.02013446369075707
17,17,A,52.013,55.333,3.3200000000000003,1.219816e-05,0.08466515174278846,119.08102642880463,0.6367661809966,-0.006904000255961347
18,18,A,55.99,56.927,0.9369999999999976,7.73666e-06,0.067041015625,127.9138682211856,0.11407320149685421,-0.031010500845098866
19,19,A,58.597,64.58,5.982999999999997,8.635931e-05,0.047431170621657755,117.58063548569021,0.26552588234933616,0.2814175482248456
20,20,A,65.253,65.703,0.45000000000000284,1.4532224e-05,0.0302734375,104.92855167851717,-0.9942331837818964,-0.0049374370885183925
21,21,A,66.187,66.597,0.4099999999999966,7.0150786e-06,0.02599158653846154,103.12759969139186,-1.107861838830668,0.0005028795545267855
22,22,A,73.39,73.767,0.37699999999999534,1.8053286e-05,0.018025716145833332,99.91034292160327,-1.3118345057975989,0.018790267888328143
23,23,A,77.15,78.207,1.056999999999988,0.00017569904,0.0656881893382353,101.4719263859123,-0.29320864510899997,-0.08442333231601047
24,24,A,78.543,79.407,0.8639999999999901,1.4241744e-05,0.0869140625,117.907766277173,0.33126930215882344,-0.14652882488529934
