,Factor1,Factor2
duration,0.32675194624213155,0.06658376398660347
energy,-0.015510194450968849,0.2961514837535318
zcr,0.6226126316010637,-0.06533400641814217
f0_mean,0.5061675567798877,0.0687595248236618
