,Factor1,Factor2,Factor3
duration,-0.1443055527840077,0.26298990058357075,0.23014241383613113
energy,0.553888022750136,0.1343537023298219,-0.05560691930564233
zcr,0.10226109138419942,0.5091977597479045,-0.022551436165556046
f0_mean,0.44820724789552263,-0.22383224451110778,0.1426165833352079
