,Factor1,Factor2
duration,0.2369909000900406,-0.2334436454923818
energy,0.4980469061502238,0.3581273601662782
zcr,0.4216759111720506,-0.3780962180575659
f0_mean,0.7085736363976187,0.007723956691421125
