,utterance_id,speaker,start,end,duration,energy,zcr,f0_mean,Factor1,Factor2
0,0,A,11.544,11.98,0.43599999999999994,0.0049301325,0.07502092633928571,117.42285993120429,0.0733735143587861,-0.06512878329845896
1,1,A,11.98,12.34,0.35999999999999943,0.01419352,0.10457356770833333,90.95978294760101,0.3762038409562089,0.3128290379474159
2,2,A,12.34,13.576,1.2360000000000007,0.004114683,0.060897435897435896,106.49950067598088,-0.15630951062561313,-0.1311902269471843
3,3,A,13.576,14.42,0.8439999999999994,0.0027382385,0.1994900173611111,132.9448811312423,1.0920742676148676,-1.7199444817886496
4,4,A,14.42,17.563,3.142999999999999,0.003234913,0.03884548611111111,122.67078945869545,0.11073849877281558,-0.3256256860999975
5,5,A,20.05,20.69,0.6400000000000006,0.0015302874,0.10407366071428571,145.96036998414652,0.5552447105709454,-0.685377151929692
6,6,A,20.69,22.311,1.6209999999999987,0.014527275,0.09891046262254902,188.26049368447806,2.049328445436732,0.1808121243559353
7,7,A,22.311,23.533,1.2220000000000013,0.000944897,0.056302584134615384,107.35031947756971,-0.35760128577871575,-0.3176775120701429
8,8,A,23.983,24.653,0.6699999999999982,0.004018235,0.028390066964285716,125.28289591703292,-0.14671212049507348,0.34950509839168187
9,9,A,26.286,26.896,0.6099999999999994,0.0019057813,0.0993896484375,100.29677488509358,-0.18773684365738838,-0.6123250827680297
10,10,A,27.421,28.713,1.2920000000000016,0.0016452068,0.04612471417682927,109.98764547000349,-0.3372250040147485,-0.16211498300963756
11,11,A,28.713,30.03,1.3170000000000002,0.001407851,0.08707682291666667,108.52356275340907,-0.09126402756257268,-0.6498904735519045
12,12,A,31.243,32.723,1.4800000000000004,0.0037774395,0.07332529920212766,121.59664116166368,0.177343040516575,-0.34185983019749566
13,13,A,33.436,34.963,1.527000000000001,0.0010064841,0.07468668619791667,118.96637182663007,-0.009171921145188737,-0.5788117291477398
14,14,A,35.347,36.406,1.0589999999999975,0.001701742,0.07021197150735294,131.94810235491605,0.15582199954441323,-0.37703549214150606
15,15,A,37.238,39.133,1.8950000000000031,0.0012554126,0.054248046875,120.34978429123645,-0.07208214768718574,-0.4015335224721589
16,16,A,40.411,46.713,6.302,0.0021231673,0.04892478981598985,104.25403529336816,0.1700055464621113,-1.1642188437846943
17,17,A,48.93,50.036,1.1060000000000016,0.010590077,0.07056361607142857,114.65200149659843,0.39726812784542015,0.2816004710327076
18,18,A,50.503,51.873,1.3699999999999974,0.013147504,0.11309956395348837,145.76230414004505,1.3609449197974417,-0.04852982526920791
19,19,A,51.873,53.066,1.193000000000005,0.011817988,0.11555561266447369,119.83717050603254,0.8679655859512907,-0.15055941787559868
20,20,A,53.851,54.691,0.8400000000000034,0.001366321,0.10038700810185185,174.24725077109676,0.9943498929425877,-0.6871099164375348
21,21,A,55.156,55.666,0.509999999999998,0.00067995925,0.05474853515625,89.3096419710148,-0.7499943769473923,-0.18324149129850312
22,22,A,55.906,57.76,1.8539999999999992,0.0024178713,0.044500942887931036,106.87951807300534,-0.2916847682905513,-0.19853597664986714
23,23,A,58.002,59.466,1.4639999999999986,0.00441223,0.07551375679347826,107.19058008012802,-0.0030608138454541454,-0.3196957165638724
24,24,A,59.996,61.276,1.2800000000000011,0.001647839,0.035358708079268296,95.58298544432931,-0.6420793447169488,-0.04210639916034238
25,25,A,61.486,61.993,0.507000000000005,0.0005580075,0.0587158203125,132.61426543671496,-0.0386737158387959,-0.22297950355733254
26,26,A,62.394,64.344,1.9499999999999957,0.0023041156,0.05816150102459016,119.56547364960305,0.00841165844527027,-0.3772284640245511
27,27,A,64.844,65.14,0.2960000000000065,0.0006362174,0.015771484375,54.286284297674854,-1.6020485218048643,0.286894048971013
28,28,A,65.343,65.994,0.6509999999999962,0.0019823404,0.027064732142857144,96.68823098113083,-0.7313130055624254,0.20393434830249707
29,29,A,66.503,67.253,0.75,0.00857555,0.07602945963541667,114.28126887077768,0.2739065536195508,0.13735609853799122
30,30,A,67.253,69.436,2.183000000000007,0.006655449,0.16931329257246377,132.79346067552387,1.2555496244863793,-1.3478959579976326
31,31,A,69.887,70.32,0.4329999999999927,0.0007232114,0.038295200892857144,75.91773941115913,-1.0824241449645888,0.017694123173307794
32,32,A,70.32,71.144,0.8240000000000123,0.0036175183,0.027155949519230768,120.60848076243718,-0.23582004498296166,0.30055058151186653
33,33,A,71.274,73.617,2.3430000000000035,0.0014814022,0.04823426942567568,104.28985758713279,-0.3073341539180547,-0.41116784849006877
34,34,A,75.553,77.043,1.490000000000009,0.0027472675,0.059591090425531915,108.48568122310787,-0.18400407105314615,-0.2709403793607382
35,35,A,77.94,80.583,2.6430000000000007,0.0020846082,0.049092855798192774,132.8620374511383,0.22247206679852752,-0.42590225733740356
36,36,A,80.933,83.213,2.279999999999987,0.001960517,0.03990342881944445,105.75294409511679,-0.3204230386132226,-0.2671036597619487
37,37,A,83.708,85.836,2.128,0.002388695,0.046845848880597014,107.69327566777093,-0.2341199867914942,-0.28204003070436023
38,38,A,86.183,86.67,0.48699999999999477,0.0019684788,0.02496337890625,83.53056343348545,-0.9746689757833003,0.25536191498333893
39,39,A,87.583,88.254,0.6710000000000065,0.0015289128,0.11481584821428571,126.33845166576486,0.3187534371422019,-0.819774056811539
40,40,A,88.746,90.72,1.9740000000000038,0.0030321481,0.06623298891129033,113.0308002845186,0.003713659331119029,-0.42013266037232605
41,41,A,91.927,93.796,1.8689999999999998,0.0026146835,0.05518405720338983,116.02779173304047,-0.05955789447365712,-0.3046923424603487
