,Factor1,Factor2
duration,0.2191931568833809,0.1263906460855674
energy,0.7876574392235579,-0.22697128215899065
zcr,0.3193489969663392,0.6691022751250195
f0_mean,0.6738952806772992,0.03254632018644307
