,utterance_id,speaker,start,end,duration,energy,zcr,f0_mean,Factor1,Factor2,Factor3
0,0,A,5.246,8.486,3.24,0.012767495,0.08692363664215687,85.60617801024392,0.7017291949074772,0.4708387422086432,1.039634745546631
1,1,A,8.99,10.126,1.1359999999999992,0.01100423,0.04307725694444445,87.10659617139915,0.2141590783784514,-0.6322163102792616,0.3429094913943241
2,2,A,10.593,11.076,0.48300000000000054,0.003519743,0.050140380859375,94.77828026209849,-0.374392582952958,-0.025227905531995765,-0.4040259511450411
3,3,A,11.546,13.763,2.2170000000000005,0.008384191,0.05751953125,118.73134288605095,0.9736869750428999,0.13631345652138047,0.00802832116509422
4,4,A,14.253,15.32,1.0670000000000002,0.0024898483,0.05620978860294118,85.95474108160555,-0.6665623548620546,0.24766046434801675,-0.1391236550943815
5,5,A,16.1,16.681,0.5809999999999995,0.0032827107,0.05088404605263158,95.19820790314519,-0.37752292792102515,0.025716358536787432,-0.3932062298765166
6,6,A,17.532,18.65,1.1179999999999986,0.007736962,0.048018973214285714,88.99527065957902,-0.057502724403461165,-0.287898627653963,0.12301324919129943
7,7,A,20.246,21.503,1.2570000000000014,0.0047198124,0.062548828125,68.55003518953454,-0.8823773797135063,0.18717071634381102,0.3077648612789237
8,8,A,22.779,23.383,0.6039999999999992,0.0053324886,0.09249074835526316,115.12455576712742,0.5961049453365431,0.7624945156764771,-0.70134166950453
9,9,A,23.413,23.989,0.5760000000000005,0.010854045,0.02158717105263158,91.40605596840628,0.18434613730316365,-1.1323495183588552,0.13417303663108124
10,10,A,27.843,28.646,0.8030000000000008,0.011368045,0.03250826322115385,99.28319934832038,0.527622785515574,-0.8902124634971972,0.08082794182494835
11,11,A,31.91,32.67,0.7600000000000016,0.005329058,0.0384521484375,88.65207963811518,-0.39056209634699657,-0.3619091478152381,-0.09145913490019898
12,12,A,32.909,36.813,3.9040000000000035,0.011299467,0.06264688135162602,115.6596911059395,1.3344092417477524,0.3077700411638759,0.7474245757943249
