,Factor1,Factor2,Factor3
duration,0.22312750890800503,0.2281333096402867,0.3417244583450022
energy,0.7177207487251429,-0.20090570703993843,0.11455180340049054
zcr,0.28355738521142027,0.49239474524594157,-0.047934013056376915
f0_mean,0.7613803044129325,0.0326174890691616,-0.14063873675901464
